category,hanzi,pinyin,english
family,"爸爸","bàba","dad; father"
family,"妈妈","māma","mom; mother"
family,"爷爷","yéye","grandpa (father's father)"
family,"奶奶","nǎinai","grandma (father's mother)"
family,"外公","wàigōng","grandpa (mother's father)"
family,"外婆","wàipó","grandma (mother's mother)"
family,"哥哥","gēge","older brother"
family,"姐姐","jiějie","older sister"
family,"弟弟","dìdi","younger brother"
family,"妹妹","mèimei","younger sister"
family,"儿子","érzi","son"
family,"女儿","nǚ'ér","daughter"
family,"叔叔","shūshu","uncle (father's younger brother; also polite term for man)"
family,"阿姨","āyí","aunt (mother's sister; also polite term for woman)"
family,"姑姑","gūgu","aunt (father's sister)"
family,"姑父","gūfu","aunt's husband (father's sister's husband)"
family,"舅舅","jiùjiu","uncle (mother's brother)"
family,"舅妈","jiùmā","uncle's wife (mother's brother's wife)"
family,"大姨","dàyí","aunt (mother's older sister)"
family,"姨父","yífu","aunt's husband (mother's sister's husband)"

fruit,"苹果","píngguǒ","apple"
fruit,"香蕉","xiāngjiāo","banana"
fruit,"西瓜","xīguā","watermelon"
fruit,"草莓","cǎoméi","strawberry"
fruit,"葡萄","pútao","grape"
fruit,"橙子","chéngzi","orange"
fruit,"桃子","táozi","peach"
fruit,"梨","lí","pear"
fruit,"菠萝","bōluó","pineapple"
fruit,"柠檬","níngméng","lemon"
fruit,"芒果","mángguǒ","mango"
fruit,"樱桃","yīngtáo","cherry"
fruit,"蓝莓","lánméi","blueberry"
fruit,"猕猴桃","míhóutáo","kiwi fruit"
fruit,"哈密瓜","hāmìguā","Hami melon; cantaloupe"
fruit,"椰子","yēzi","coconut"
fruit,"柚子","yòuzi","pomelo"
fruit,"火龙果","huǒlóngguǒ","dragon fruit"
fruit,"石榴","shíliú","pomegranate"
fruit,"木瓜","mùguā","papaya"

animal,"猫","māo","cat"
animal,"狗","gǒu","dog"
animal,"熊猫","xióngmāo","panda"
animal,"大象","dàxiàng","elephant"
animal,"长颈鹿","chángjǐnglù","giraffe"
animal,"兔子","tùzi","rabbit"
animal,"老虎","lǎohǔ","tiger"
animal,"狮子","shīzi","lion"
animal,"马","mǎ","horse"
animal,"牛","niú","cow; ox"
animal,"羊","yáng","sheep"
animal,"鸭子","yāzi","duck"
animal,"鸡","jī","chicken"
animal,"猴子","hóuzi","monkey"
animal,"企鹅","qǐ'é","penguin"
animal,"鱼","yú","fish"
animal,"鸟","niǎo","bird"
animal,"小猪","xiǎozhū","little pig"
animal,"小熊","xiǎoxióng","little bear"
animal,"海豚","hǎitún","dolphin"

verb,"吃","chī","to eat"
verb,"喝","hē","to drink"
verb,"睡觉","shuìjiào","to sleep"
verb,"起床","qǐchuáng","to get up (out of bed)"
verb,"走路","zǒulù","to walk"
verb,"跑步","pǎobù","to run; to jog"
verb,"看书","kànshū","to read books"
verb,"看电视","kàn diànshì","to watch TV"
verb,"写字","xiězì","to write characters"
verb,"说话","shuōhuà","to talk; to speak"
verb,"听","tīng","to listen"
